ASV	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
Asv1573	Bacteria	Cyanobacteria						
Asv1575	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1574	Bacteria	Actinobacteria	Actinobacteria					
Asv1577	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv1578	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae			
Asv1579	Bacteria	Proteobacteria	Betaproteobacteria					
Asv1576	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter		
Asv1580	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae			
Asv1581	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae			
Asv1582	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacterineae	Mycobacteriaceae	Mycobacterium	
Asv1584	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae			
Asv1585	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1586	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas		
Asv1587	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae			
Asv1588	Bacteria	Actinobacteria						
Asv1583	Bacteria							
Asv1589	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv1590	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv1591	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1593	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae			
